packet_count,byte_count,connection_count,packet_rate,byte_rate,avg_packet_size,unique_dst_ports,unique_dst_ips,proto_tcp_ratio,proto_udp_ratio,proto_icmp_ratio,mqtt_ratio,label
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
5,1405,5,0.5,140.5,281.0,1,1,1.0,0.0,0.0,0.0,normal
26,6125,26,2.6,612.5,235.57692307692307,1,8,1.0,0.0,0.0,0.0,normal
8,3766,8,0.8,376.6,470.75,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
2,108,2,0.2,10.8,54.0,1,1,1.0,0.0,0.0,0.0,normal
1,177,1,0.1,17.7,177.0,1,1,1.0,0.0,0.0,0.0,normal
902,51713,902,90.2,5171.3,57.331485587583146,3,1,1.0,0.0,0.0,0.0,normal
28,7571,28,2.8,757.1,270.39285714285717,2,1,1.0,0.0,0.0,0.0,normal
17,5040,17,1.7,504.0,296.47058823529414,1,1,1.0,0.0,0.0,0.0,normal
32,10202,32,3.2,1020.2,318.8125,1,1,1.0,0.0,0.0,0.0,normal
747,2655029,747,74.7,265502.9,3554.255689424364,1,6,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
22,5070,22,2.2,507.0,230.45454545454547,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
14,8704,14,1.4,870.4,621.7142857142857,3,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
9,2733,9,0.9,273.3,303.6666666666667,1,1,1.0,0.0,0.0,0.0,normal
4,625,4,0.4,62.5,156.25,1,1,1.0,0.0,0.0,0.0,normal
46,7997,46,4.6,799.7,173.84782608695653,2,9,0.9565217391304348,0.043478260869565216,0.0,0.0,normal
2,212,2,0.2,21.2,106.0,2,1,0.0,1.0,0.0,0.0,normal
11,5335,11,1.1,533.5,485.0,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,178,1,0.1,17.8,178.0,1,1,1.0,0.0,0.0,0.0,normal
19,16779,19,1.9,1677.9,883.1052631578947,1,1,1.0,0.0,0.0,0.0,normal
3,162,3,0.3,16.2,54.0,1,1,1.0,0.0,0.0,0.0,normal
22,6794,22,2.2,679.4,308.8181818181818,1,1,1.0,0.0,0.0,0.0,normal
51,15315,51,5.1,1531.5,300.29411764705884,2,5,0.9803921568627451,0.0196078431372549,0.0,0.0,normal
1,118,1,0.1,11.8,118.0,1,1,0.0,1.0,0.0,0.0,normal
4,1045,4,0.4,104.5,261.25,1,1,1.0,0.0,0.0,0.0,normal
6,389,6,0.6,38.9,64.83333333333333,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
1338,74865,1338,133.8,7486.5,55.95291479820628,3,1,1.0,0.0,0.0,0.0,normal
1,230,1,0.1,23.0,230.0,1,1,0.0,1.0,0.0,0.0,normal
966,3854898,966,96.6,385489.8,3990.577639751553,2,6,0.9989648033126294,0.0010351966873706005,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,178,1,0.1,17.8,178.0,1,1,1.0,0.0,0.0,0.0,normal
22,6135,22,2.2,613.5,278.8636363636364,2,1,1.0,0.0,0.0,0.0,normal
1,80,1,0.1,8.0,80.0,1,1,1.0,0.0,0.0,0.0,normal
1783,124031,1783,178.3,12403.1,69.56309590577678,3,1,1.0,0.0,0.0,0.0,normal
17,5927,17,1.7,592.7,348.6470588235294,1,1,1.0,0.0,0.0,0.0,normal
24,7458,24,2.4,745.8,310.75,1,1,1.0,0.0,0.0,0.0,normal
880,4817203,880,88.0,481720.3,5474.094318181818,2,9,0.9988636363636364,0.0011363636363636363,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
8,3035,8,0.8,303.5,379.375,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
13,8065,13,1.3,806.5,620.3846153846154,2,1,0.5384615384615384,0.46153846153846156,0.0,0.0,normal
11,3397,11,1.1,339.7,308.8181818181818,1,1,1.0,0.0,0.0,0.0,normal
38,12731,38,3.8,1273.1,335.0263157894737,1,5,0.868421052631579,0.13157894736842105,0.0,0.0,normal
6,2863,6,0.6,286.3,477.1666666666667,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,178,1,0.1,17.8,178.0,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
2,108,2,0.2,10.8,54.0,2,1,1.0,0.0,0.0,0.0,normal
4,294,4,0.4,29.4,73.5,2,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
7,971,7,0.7,97.1,138.71428571428572,1,1,1.0,0.0,0.0,0.0,normal
7,2069,7,0.7,206.9,295.57142857142856,1,1,1.0,0.0,0.0,0.0,normal
34,16104,34,3.4,1610.4,473.6470588235294,1,10,1.0,0.0,0.0,0.0,normal
4,1049,4,0.4,104.9,262.25,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
7,7787,7,0.7,778.7,1112.4285714285713,3,1,1.0,0.0,0.0,0.0,normal
6,861,6,0.6,86.1,143.5,1,1,1.0,0.0,0.0,0.0,normal
4,623,4,0.4,62.3,155.75,1,1,1.0,0.0,0.0,0.0,normal
20,13179,20,2.0,1317.9,658.95,1,6,1.0,0.0,0.0,0.0,normal
3,239,3,0.3,23.9,79.66666666666667,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,178,1,0.1,17.8,178.0,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
469,32931,469,46.9,3293.1,70.21535181236673,4,1,1.0,0.0,0.0,0.0,normal
360,1375390,360,36.0,137539.0,3820.527777777778,2,6,0.9861111111111112,0.013888888888888888,0.0,0.0,normal
5,1208,5,0.5,120.8,241.6,5,1,0.0,1.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
17,16938,17,1.7,1693.8,996.3529411764706,1,1,1.0,0.0,0.0,0.0,normal
1,66,1,0.1,6.6,66.0,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
1455,90136,1455,145.5,9013.6,61.94914089347079,3,1,1.0,0.0,0.0,0.0,normal
7,2069,7,0.7,206.9,295.57142857142856,1,1,1.0,0.0,0.0,0.0,normal
129,323746,129,12.9,32374.6,2509.6589147286822,1,1,1.0,0.0,0.0,0.0,normal
1102,4282339,1102,110.2,428233.9,3885.970054446461,3,10,0.9954627949183303,0.004537205081669692,0.0,0.0,normal
4,504,4,0.4,50.4,126.0,4,1,0.0,1.0,0.0,0.0,normal
3,995,3,0.3,99.5,331.6666666666667,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,178,1,0.1,17.8,178.0,1,1,1.0,0.0,0.0,0.0,normal
1,298,1,0.1,29.8,298.0,1,1,0.0,1.0,0.0,0.0,normal
